BUG_ID,STATUS,BUG_REPORTER,PROJECT,COMPONENT,VERSION,HW,OS,PRIORITY,SEVERITY,ASSIGNEE,CHG_ASSIGNEE
356041,closed:duplicate,yeekeatphuah,birt,converters,3.7,pc,windows 7,P3,blocker,projectinbox,0
356086,new:---,analucia,birt,report,uns,pc,windows xp,P3,normal,birtreportinbox,0
356087,resolved:worksforme,analucia,birt,report,uns,pc,windows xp,P3,normal,birtreportinbox,0
356099,resolved:worksforme,bluishjoe,birt,data,3.7,pc,windows server 2008,P3,major,birtdatainbox,1
356159,new:---,winkler.fulda,birt,chart,2.6,pc,all,P3,enhancement,birtchartinbox,0
356175,new:---,thomaskäfer,birt,reportviewer,uns,pc,linux,P3,major,birtreportviewer,0
356186,resolved:invalid,inisislfdev,birt,reportengine,2.5,pc,windows xp,P3,major,birtreportengineinbox,1
356223,closed:fixed,m.kassens,birt,reportengine,3.7,pc,windows xp,P3,normal,birtreportengineinbox,0
356229,new:---,eminaguil,birt,reportengine,uns,pc,all,P3,major,birtreportengineinbox,0
356266,new:---,amitdorshifer,birt,reportdesigner,3.7,pc,linux,P3,enhancement,birtreportdesigner,0
356490,new:---,spamaccount491,birt,reportengine,3.7,pc,windows xp,P3,normal,birtreportengineinbox,0
356513,new:---,steveschafer,birt,report,uns,pc,linux,P3,normal,birtreportinbox,1
356517,resolved:worksforme,steinerik,birt,build,uns,pc,windows 7,P3,normal,birtbuild,0
356752,new:---,andrewsleeman,birt,reportengine,uns,all,all,P3,normal,birtreportengineinbox,0
356833,closed:worksforme,susanadomingos,birt,report,2.6,pc,linux,P3,critical,birtreportinbox,1
356913,resolved:wontfix,martao,birt,chart,2.5,all,windows xp,P3,major,birtchartinbox,1
356920,new:---,dennisschladebeck,birt,chart,uns,all,all,P3,enhancement,birtchartinbox,0
357038,resolved:duplicate,martao,birt,chart,uns,pc,windows xp,P3,normal,birtchartinbox,0
357075,new:---,martijncremer,birt,chart,uns,pc,windows xp,P3,enhancement,birtchartinbox,0
357114,closed:fixed,davidpaquin,birt,chart,uns,pc,windows 7,P3,normal,birtchartinbox,0
357185,new:---,missingname,birt,reportviewer,uns,all,all,P3,enhancement,birtreportviewer,0
357228,resolved:fixed,alessiopollero,birt,report,3.7,pc,linux,P3,critical,birtreportinbox,0
357314,closed:duplicate,michaelvorburger,birt,reportengine,2.5,pc,linux,P3,normal,birtreportengineinbox,0
357315,resolved:fixed,michaelvorburger,birt,reportengine,2.5,pc,linux,P3,normal,birtreportengineinbox,0
357412,new:---,hariseeram,birt,reportviewer,uns,all,windows 7,P3,normal,birtreportviewer,0
357500,verified:worksforme,seans,birt,reportviewer,uns,pc,linux,P3,normal,zhiqiangqian,1
357658,resolved:wontfix,philippemarsteau,birt,report,2.6,pc,windows 7,P3,normal,birtreportinbox,0
357690,new:---,evgenyak,birt,report,2.6,pc,linux,P3,normal,birtreportinbox,0
357715,resolved:worksforme,bakura,birt,chart,uns,pc,windows 7,P3,minor,birtchartinbox,0
357744,new:---,janlerby,birt,reportviewer,uns,pc,all,P3,enhancement,birtreportviewer,0
357987,resolved:fixed,aleksey,birt,reportengine,3.7,pc,windows 7,P3,major,birtreportengineinbox,0
358072,closed:worksforme,meltie,birt,dataaccess,3.7,pc,windows 7,P3,critical,binfeng,1
358107,closed:invalid,henningvonbargen,birt,reportdesigner,3.7,pc,windows xp,P3,major,birtreportdesigner,0
358180,resolved:worksforme,madhuri.bollineni2007,birt,reportviewer,uns,pc,windows xp,P3,critical,birtreportviewer,0
358277,new:---,rachael.cangelosi,birt,reportviewer,uns,pc,windows xp,P3,critical,birtreportviewer,0
358336,new:---,marianedu,birt,reportdesigner,uns,all,all,P3,enhancement,birtreportdesigner,0
358483,closed:duplicate,davidpaquin,birt,reportengine,2.6,pc,windows 7,P3,major,birtreportengineinbox,0
358622,new:---,johnmcteague,birt,chart,3.7,pc,windows 7,P3,normal,birtchartinbox,1
358718,resolved:wontfix,gustavomisingname,birt,report,3.7,pc,linux,P3,normal,birtreportinbox,0
358770,new:---,kavithamisingname,birt,data,3.7,pc,windows xp,P3,normal,birtdatainbox,1
358771,new:---,davidpaquin,birt,chart,2.6,pc,windows 7,P3,normal,birtchartinbox,0
358782,new:---,nolan.letellier,birt,reportengine,uns,all,all,P3,normal,birtreportengineinbox,0
358847,resolved:duplicate,sudhakarmisingname,birt,reportengine,3.7,all,all,P3,major,birtreportengineinbox,0
358856,resolved:invalid,michaelyoffe,birt,reportengine,uns,pc,windows xp,P3,major,birtreportengineinbox,0
358878,new:---,jeanbaptisteguillois,birt,chart,3.7,all,all,P3,enhancement,birtchartinbox,0
358884,resolved:invalid,karinetropis,birt,reportengine,uns,pc,windows 7,P3,normal,birtreportengineinbox,1
358995,resolved:worksforme,martine,birt,reportviewer,2.3,pc,linux,P3,major,birtreportviewer,0
359029,closed:invalid,lehellidu,birt,reportengine,3.7,pc,windows server 2003,P3,normal,birtreportengineinbox,0
359103,new:---,mikewulkan,birt,chart,uns,pc,windows 7,P3,enhancement,birtchartinbox,0
359162,new:---,samva,birt,reportengine,3.7,all,linux,P3,normal,birtreportengineinbox,0
359278,new:---,johnconlon,birt,reportviewer,3.7,pc,linux,P3,blocker,birtreportviewer,0
359459,new:---,jarifredriksson,birt,reportviewer,uns,pc,linux,P3,minor,birtreportviewer,0
359460,new:---,anniehe,birt,data,3.7,pc,windows xp,P3,enhancement,birtdatainbox,1
359643,resolved:fixed,nicklaskarlsson,birt,dataaccess,3.7,pc,windows 7,P3,normal,birtdataaccess,0
359666,reopened:---,taraskopets,birt,chart,3.7,pc,linux,P3,enhancement,yulinwang,1
359678,new:---,uffe,birt,reportviewer,uns,pc,windows xp,P3,normal,birtreportviewer,0
359679,reopened:---,uffe,birt,reportviewer,3.7,pc,windows xp,P3,critical,birtreportviewer,0
359796,resolved:duplicate,hagemisingname,birt,report,uns,pc,linux,P3,normal,birtreportinbox,0
359985,resolved:worksforme,harmeet,birt,build,uns,pc,windows 7,P3,normal,birtbuild,0
360068,resolved:fixed,emmanuel,birt,reportviewer,uns,pc,windows 7,P3,blocker,zhiqiangqian,1
360205,resolved:wontfix,harmeet,birt,dataaccess,uns,pc,windows 7,P3,normal,birtdataaccess,0
360284,new:---,missingname,birt,reportengine,2.6,all,all,P3,normal,birtreportengineinbox,0
360321,closed:fixed,jarifredriksson,birt,reportviewer,3.7,pc,all,P3,major,birtreportviewer,0
360640,new:---,samuelsantos,birt,reportengine,uns,pc,windows 7,P3,normal,birtreportengineinbox,0
360657,resolved:fixed,haraldböhme,birt,reportengine,2.6,all,all,P3,critical,gangliu,1
360699,resolved:not_eclipse,missingname,birt,reportengine,3.7,pc,windows xp,P3,major,yuchen,1
360702,resolved:worksforme,chad,birt,data,2.6,pc,mac os x - carbon (unsup.),P3,major,birtdatainbox,0
360915,resolved:fixed,geraldploner,birt,reportengine,3.7,pc,windows 7,P3,major,yuchen,1
360927,new:---,nikolay,birt,reportdesigner,3.7,pc,windows 7,P3,critical,birtreportdesigner,0
361074,closed:fixed,dustylittle,birt,dataaccess,uns,pc,linux,P3,normal,birtdataaccess,0
