CHG_PROJECT,CHG_COMPONENT,CHG_VERSION,CHG_HW,CHG_OS,CHG_PRIORITY,CHG_SEVERITY,CHG_ASSIGNEE,BUG_ID,BUG_REPORTER,PROJECT,COMPONENT,VERSION,HW,OS,PRIORITY,SEVERITY,ASSIGNEE
0,0,0,0,0,0,0,0,407722,haozhou,birt,reportdesigner,4.3,pc,windows7,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,407789,andrewjohnson,birt,chart,4.3,pc,windows7,P3,critical,matcoreinbox
0,0,0,0,0,0,0,0,407840,jessiefeng,birt,reportdesigner,4.3,pc,windows7,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,1,407842,haozhou,birt,data,4.3,pc,windows7,P3,minor,birtdatainbox
0,0,0,0,0,0,0,0,407846,leidu,birt,reportdesigner,4.3,pc,windows7,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,407959,leidu,birt,data,4.3,pc,windows7,P3,major,birtdatainbox
0,0,0,0,0,0,0,0,407964,jessiefeng,birt,reportdesigner,4.3,pc,windows7,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,407965,leidu,birt,data,4.3,pc,windows7,P3,major,birtdatainbox
0,0,0,0,0,0,0,0,407969,leidu,birt,reportdesigner,4.3,pc,windows7,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,407973,xiaoxiaowu,birt,reportdesigner,4.3.2,pc,windows7,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,408062,jeffnevicosi,birt,reportdesigner,4.2,pc,windows7,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,408692,xiaoxiaowu,birt,reportdesigner,4.3,pc,windows7,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,408777,xiaoxiaowu,birt,reportdesigner,4.3.2,pc,windows7,P3,normal,birtreportdesignerinbox
0,0,0,0,0,0,0,0,408792,xiaoxiaowu,birt,reportdesigner,4.3.2,pc,windows7,P3,normal,birtreportdesignerinbox
